model,utt_idx,obs_idx,p_low,p_info,p_high,highlight_info_gt_low_plus_high,utt_label,obs_label
lr,0,0,0.22868728549564724,0.37707149793408645,0.3942412165007164,False,none / none / right,[9 9 3 3 3]
lr,0,1,0.8805671353986417,0.11705358133447312,0.002379283181312472,False,none / none / right,[12 12 12 12 12]
lr,0,2,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[9 9 9 0 0]
lr,0,3,0.5692480568862126,0.34739898108947476,0.08335296193676493,False,none / none / right,[9 9 9 9 9]
lr,0,4,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[12 12  0  0  0]
lr,0,5,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[12 12  9  0  0]
lr,0,6,0.6272139033271414,0.3091694550410216,0.06361664155487695,False,none / none / right,[12 12  9  9  9]
lr,0,7,0.07300723800930105,0.3323080024941162,0.5946847594128473,False,none / none / right,[3 3 3 3 3]
lr,0,8,0.592987256932473,0.35268748303604996,0.054325259943657354,False,none / none / right,[12 12 12  3  3]
lr,0,9,0.4426196970406648,0.39412607393351007,0.16325422895430897,False,none / none / right,[12 12  9  3  3]
lr,0,10,0.3015600431243045,0.4535462652917364,0.24489369150162932,False,none / none / right,[12 12  3  3  3]
lr,0,11,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[12 12  3  0  0]
lr,0,12,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[3 3 0 0 0]
lr,0,13,0.3654054288474558,0.3817277523920995,0.2528668186900339,False,none / none / right,[9 9 9 3 3]
lr,0,14,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[9 9 0 0 0]
lr,0,15,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[0 0 0 0 0]
lr,0,16,0.7188748141408571,0.2482305731855242,0.03289461259511131,False,none / none / right,[12 12 12  9  9]
lr,0,17,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[9 9 3 0 0]
lr,0,18,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[12 12 12  0  0]
lr,0,19,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[3 3 3 0 0]
lr,1,0,0.2528668186900339,0.38172775239209944,0.36540542884745575,False,none / none / wrong,[9 9 3 3 3]
lr,1,1,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / wrong,[12 12 12 12 12]
