condition_key,item_id,p_high_emp,p_info_emp,p_low_emp,condition,Q1,Q2,A,observation,obs_key
high,0,0.72,0.08,0.2,high,some,some,wrong,"[0, 0, 0, 0, 0]",0|0|0|0|0
high,1,0.68,0.28,0.04,high,some,none,wrong,"[12, 12, 3, 0, 0]",12|12|3|0|0
high,2,0.6,0.12,0.28,high,some,most,wrong,"[0, 0, 0, 0, 0]",0|0|0|0|0
high,3,0.4,0.24,0.36,high,all,some,wrong,"[0, 0, 0, 0, 0]",0|0|0|0|0
high,4,0.28,0.44,0.28,high,none,all,right,"[0, 0, 0, 0, 0]",0|0|0|0|0
high,5,0.76,0.12,0.12,high,some,most,right,"[9, 9, 3, 0, 0]",9|9|3|0|0
high,6,0.72,0.16,0.12,high,some,none,wrong,"[12, 12, 0, 0, 0]",12|12|0|0|0
high,7,0.76,0.08,0.16,high,some,most,right,"[9, 9, 0, 0, 0]",9|9|0|0|0
high,8,0.6,0.28,0.12,high,most,some,wrong,"[0, 0, 0, 0, 0]",0|0|0|0|0
high,9,0.6,0.36,0.04,high,some,all,right,"[12, 12, 0, 0, 0]",12|12|0|0|0
info,10,0.88,0.12,0.0,info,most,all,right,"[12, 12, 12, 0, 0]",12|12|12|0|0
info,11,0.6,0.4,0.0,info,all,all,right,"[12, 12, 12, 12, 12]",12|12|12|12|12
info,12,0.12,0.56,0.32,info,all,all,wrong,"[0, 0, 0, 0, 0]",0|0|0|0|0
info,13,0.64,0.32,0.04,info,most,none,wrong,"[12, 12, 12, 0, 0]",12|12|12|0|0
info,14,0.12,0.4,0.48,info,most,none,right,"[12, 12, 0, 0, 0]",12|12|0|0|0
info,15,0.8,0.08,0.12,info,most,some,right,"[3, 3, 3, 3, 0]",3|3|3|3|0
info,16,0.04,0.28,0.68,info,most,some,wrong,"[12, 9, 9, 9, 9]",12|9|9|9|9
info,17,0.08,0.36,0.56,info,most,all,wrong,"[12, 12, 0, 0, 0]",12|12|0|0|0
info,18,0.16,0.24,0.6,info,some,all,wrong,"[12, 12, 12, 0, 0]",12|12|12|0|0
info,19,0.64,0.32,0.04,info,some,all,right,"[12, 12, 0, 0, 0]",12|12|0|0|0
low,20,0.12,0.24,0.64,low,some,most,wrong,"[12, 12, 9, 3, 3]",12|12|9|3|3
low,21,0.2,0.44,0.36,low,some,most,right,"[12, 12, 12, 12, 12]",12|12|12|12|12
low,22,0.16,0.32,0.52,low,all,some,right,"[12, 12, 12, 12, 12]",12|12|12|12|12
low,23,0.16,0.56,0.28,low,none,all,wrong,"[12, 12, 12, 12, 12]",12|12|12|12|12
low,24,0.08,0.24,0.68,low,some,none,right,"[12, 12, 12, 0, 0]",12|12|12|0|0
low,25,0.12,0.08,0.8,low,some,most,wrong,"[12, 12, 12, 3, 3]",12|12|12|3|3
low,26,0.2,0.28,0.52,low,most,some,right,"[12, 12, 12, 12, 12]",12|12|12|12|12
low,27,0.16,0.36,0.48,low,some,some,right,"[12, 12, 12, 12, 12]",12|12|12|12|12
low,28,0.08,0.36,0.56,low,some,none,right,"[12, 12, 9, 0, 0]",12|12|9|0|0
low,29,0.12,0.28,0.6,low,some,all,wrong,"[12, 12, 12, 0, 0]",12|12|12|0|0
