condition_key,Q1_key,Q2_key,A_key,obs_key,response
low,nan,all,wrong,12|12|12|12|12,low
low,nan,all,wrong,12|12|12|12|12,low
low,nan,all,wrong,12|12|12|12|12,low
low,nan,all,wrong,12|12|12|12|12,info
low,nan,all,wrong,12|12|12|12|12,info
low,nan,all,wrong,12|12|12|12|12,high
low,nan,all,wrong,12|12|12|12|12,info
low,nan,all,wrong,12|12|12|12|12,info
low,nan,all,wrong,12|12|12|12|12,high
low,nan,all,wrong,12|12|12|12|12,high
low,nan,all,wrong,12|12|12|12|12,info
low,nan,all,wrong,12|12|12|12|12,low
low,nan,all,wrong,12|12|12|12|12,info
low,nan,all,wrong,12|12|12|12|12,info
low,nan,all,wrong,12|12|12|12|12,info
low,nan,all,wrong,12|12|12|12|12,info
low,nan,all,wrong,12|12|12|12|12,low
high,nan,all,right,0|0|0|0|0,info
high,nan,all,right,0|0|0|0|0,high
high,nan,all,right,0|0|0|0|0,high
high,nan,all,right,0|0|0|0|0,info
high,nan,all,right,0|0|0|0|0,high
high,nan,all,right,0|0|0|0|0,info
high,nan,all,right,0|0|0|0|0,low
high,nan,all,right,0|0|0|0|0,high
high,nan,all,right,0|0|0|0|0,info
high,nan,all,right,0|0|0|0|0,low
high,nan,all,right,0|0|0|0|0,high
high,nan,all,right,0|0|0|0|0,info
high,nan,all,right,0|0|0|0|0,low
high,nan,all,right,0|0|0|0|0,info
high,nan,all,right,0|0|0|0|0,low
high,nan,all,right,0|0|0|0|0,high
high,nan,all,right,0|0|0|0|0,info
high,nan,all,right,0|0|0|0|0,info
high,nan,all,right,0|0|0|0|0,info
high,nan,all,right,0|0|0|0|0,high
high,nan,all,right,0|0|0|0|0,info
high,nan,all,right,0|0|0|0|0,low
high,nan,all,right,0|0|0|0|0,low
high,nan,all,right,0|0|0|0|0,low
high,nan,all,right,0|0|0|0|0,info
low,nan,all,wrong,12|12|12|12|12,high
low,nan,all,wrong,12|12|12|12|12,info
low,nan,all,wrong,12|12|12|12|12,info
low,nan,all,wrong,12|12|12|12|12,low
low,nan,all,wrong,12|12|12|12|12,low
low,nan,all,wrong,12|12|12|12|12,info
low,nan,all,wrong,12|12|12|12|12,info
low,nan,all,wrong,12|12|12|12|12,info
