,none|none|right,none|none|wrong,none|some|right,none|some|wrong,none|most|right,none|most|wrong,none|all|right,none|all|wrong,some|none|right,some|none|wrong,some|some|right,some|some|wrong,some|most|right,some|most|wrong,some|all|right,some|all|wrong,most|none|right,most|none|wrong,most|some|right,most|some|wrong,most|most|right,most|most|wrong,most|all|right,most|all|wrong,all|none|right,all|none|wrong,all|some|right,all|some|wrong,all|most|right,all|most|wrong,all|all|right,all|all|wrong
0,0.014,0.01575,0.0,0.0,0.0,0.0,0.0155,0.01925,0.0,0.0,0.07675,0.0755,0.09075,0.087,0.0,0.0,0.0,0.0,0.0835,0.08625,0.0,0.1505,0.0,0.0,0.0,0.0,0.13725,0.148,0.0,0.0,0.0,0.0
1,0.00675,0.0,0.0,0.0525,0.0,0.012,0.0,0.00575,0.0,0.00375,0.023,0.0,0.0195,0.0,0.03575,0.0,0.0,0.00875,0.02775,0.0,0.04075,0.0,0.102,0.0,0.0,0.0505,0.03725,0.0,0.10125,0.0,0.47275,0.0
2,0.0,0.02025,0.0,0.0,0.0,0.0,0.018,0.0,0.01675,0.0,0.072,0.0755,0.08875,0.09025,0.0,0.148,0.0,0.0,0.09575,0.0795,0.1465,0.0,0.0,0.0,0.0,0.0,0.0,0.14875,0.0,0.0,0.0,0.0
3,0.0115,0.01025,0.0,0.0,0.0,0.0275,0.01525,0.01125,0.0,0.0,0.052,0.0595,0.072,0.0,0.0,0.0,0.0,0.0,0.064,0.05825,0.09775,0.0,0.0,0.0,0.0,0.0,0.11175,0.113,0.296,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01075,0.01275,0.0575,0.05375,0.0695,0.067,0.098,0.1065,0.03025,0.0,0.0,0.0715,0.0,0.104,0.0,0.3185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.017,0.0735,0.06575,0.092,0.0925,0.16125,0.15275,0.0,0.0,0.0945,0.09475,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.01075,0.0,0.0,0.0,0.0,0.03275,0.0,0.015,0.0,0.01025,0.054,0.05325,0.065,0.0,0.1145,0.0,0.0,0.0,0.06825,0.067,0.1055,0.0,0.0,0.0,0.0,0.0,0.10025,0.0,0.3035,0.0,0.0,0.0
7,0.015,0.01175,0.0,0.0,0.0325,0.0,0.01175,0.013,0.0,0.0,0.05375,0.047,0.0,0.06525,0.0,0.0,0.0,0.0,0.06975,0.06375,0.0,0.10625,0.0,0.0,0.0,0.0,0.104,0.1025,0.0,0.30375,0.0,0.0
8,0.01275,0.0,0.0,0.0,0.0,0.0,0.0,0.0165,0.0,0.01275,0.0515,0.0575,0.0655,0.06525,0.116,0.0,0.0,0.03275,0.05725,0.0,0.10925,0.0,0.3,0.0,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.0
9,0.01725,0.0,0.0,0.0,0.0,0.0,0.0,0.0165,0.0,0.0185,0.07625,0.07575,0.08625,0.08775,0.1585,0.0,0.0,0.0,0.08025,0.08275,0.14975,0.0,0.0,0.0,0.0,0.0,0.1505,0.0,0.0,0.0,0.0,0.0
10,0.0165,0.0,0.0,0.0,0.0,0.0,0.0,0.01725,0.0,0.01725,0.06925,0.07125,0.09,0.08775,0.1495,0.0,0.0,0.0,0.094,0.09675,0.0,0.1535,0.0,0.0,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.01625,0.085,0.0805,0.1005,0.08925,0.145,0.14175,0.0,0.0,0.08525,0.0875,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0105,0.0,0.0,0.02375,0.0,0.012,0.0,0.008,0.0,0.04125,0.04375,0.0,0.0495,0.0,0.0925,0.022,0.0,0.0,0.05375,0.0,0.09075,0.0,0.23325,0.0,0.0,0.0,0.08575,0.0,0.23325,0.0,0.0
13,0.01725,0.016,0.0,0.0,0.0,0.0,0.01475,0.01225,0.0,0.0,0.07725,0.07825,0.08925,0.07975,0.0,0.0,0.0,0.0,0.08725,0.08375,0.14375,0.0,0.0,0.0,0.0,0.0,0.15275,0.14775,0.0,0.0,0.0,0.0
14,0.0,0.01175,0.0,0.0,0.0,0.0,0.01175,0.0,0.01475,0.0,0.058,0.05775,0.06525,0.0685,0.0,0.10725,0.02725,0.0,0.0,0.06125,0.0,0.112,0.0,0.29975,0.0,0.0,0.0,0.10475,0.0,0.0,0.0,0.0
15,0.0,0.00525,0.04525,0.0,0.0115,0.0,0.0035,0.0,0.00375,0.0,0.0,0.017,0.0,0.028,0.0,0.044,0.012,0.0,0.0,0.02475,0.0,0.04025,0.0,0.10125,0.04725,0.0,0.0,0.03375,0.0,0.11375,0.0,0.46875
16,0.008,0.0,0.0,0.0,0.0,0.02925,0.0,0.008,0.0,0.01025,0.04525,0.0435,0.05575,0.0,0.08875,0.0,0.0,0.0235,0.05525,0.0,0.082,0.0,0.2225,0.0,0.0,0.0,0.096,0.0,0.232,0.0,0.0,0.0
17,0.0,0.017,0.0,0.0,0.0,0.0,0.01575,0.0,0.01425,0.0,0.0745,0.07125,0.0935,0.09275,0.0,0.14625,0.0,0.0,0.087,0.09125,0.0,0.14675,0.0,0.0,0.0,0.0,0.0,0.14975,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.01375,0.05025,0.05275,0.06175,0.0695,0.115,0.1065,0.0,0.03325,0.0665,0.0,0.113,0.0,0.30525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.01125,0.0,0.0,0.03125,0.0,0.01375,0.0,0.01325,0.0,0.055,0.04975,0.0,0.05875,0.0,0.1115,0.0,0.0,0.0695,0.067,0.0,0.103,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.303,0.0,0.0
20,0.0,0.012,0.0,0.0,0.0,0.0,0.01175,0.0,0.0125,0.0,0.053,0.05225,0.064,0.0715,0.0,0.11125,0.0325,0.0,0.0,0.066,0.0,0.1025,0.0,0.3005,0.0,0.0,0.0,0.11025,0.0,0.0,0.0,0.0
21,0.0,0.00575,0.0485,0.0,0.01,0.0,0.0055,0.0,0.00575,0.0,0.0,0.0195,0.0,0.02825,0.0,0.035,0.01175,0.0,0.0,0.0275,0.0,0.04275,0.0,0.09275,0.05025,0.0,0.0,0.04525,0.0,0.0995,0.0,0.472
22,0.0155,0.01125,0.0,0.0,0.0315,0.0,0.014,0.013,0.0,0.0,0.0525,0.056,0.0,0.066,0.0,0.0,0.0,0.0,0.067,0.05975,0.0,0.11125,0.0,0.0,0.0,0.0,0.105,0.10425,0.0,0.293,0.0,0.0
23,0.0,0.01675,0.0,0.0,0.0,0.0,0.015,0.0,0.0175,0.0,0.0725,0.07775,0.08725,0.09575,0.0,0.14375,0.0,0.0,0.088,0.08925,0.0,0.147,0.0,0.0,0.0,0.0,0.0,0.1495,0.0,0.0,0.0,0.0
24,0.0,0.0185,0.0,0.0,0.0,0.0,0.0185,0.0,0.015,0.0,0.07275,0.076,0.08775,0.09,0.0,0.1405,0.0,0.0,0.084,0.088,0.15575,0.0,0.0,0.0,0.0,0.0,0.0,0.15325,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01575,0.01725,0.07325,0.07425,0.088,0.09175,0.1605,0.1525,0.0,0.0,0.0875,0.089,0.0,0.15025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.01175,0.0,0.0,0.0,0.0,0.02425,0.0,0.01225,0.0,0.013,0.0475,0.042,0.05775,0.0,0.08775,0.0,0.0,0.02625,0.0525,0.0,0.08725,0.0,0.229,0.0,0.0,0.0,0.0815,0.0,0.22725,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01875,0.01375,0.07875,0.074,0.0885,0.0875,0.15375,0.144,0.0,0.0,0.0905,0.09275,0.15775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.00475,0.0,0.0,0.0445,0.0,0.01475,0.0,0.00525,0.0,0.0065,0.02125,0.0,0.02225,0.0,0.04225,0.0,0.0,0.012,0.0255,0.0,0.04275,0.0,0.09775,0.0,0.0,0.05325,0.03825,0.0,0.102,0.0,0.467,0.0
29,0.0,0.01075,0.0,0.0,0.024,0.0,0.0125,0.0,0.0105,0.0,0.04875,0.04825,0.0,0.05,0.0,0.08525,0.0245,0.0,0.0,0.0515,0.0,0.0795,0.0,0.241,0.0,0.0,0.0,0.08275,0.0,0.23075,0.0,0.0
30,0.019,0.01425,0.0,0.0,0.0,0.0,0.0135,0.01825,0.0,0.0,0.069,0.07225,0.087,0.08625,0.0,0.0,0.0,0.0,0.0925,0.08875,0.145,0.0,0.0,0.0,0.0,0.0,0.14425,0.15,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00875,0.01075,0.06325,0.058,0.0675,0.063,0.10625,0.113,0.02925,0.0,0.0,0.06525,0.0,0.11675,0.0,0.29825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.016,0.022,0.0,0.0,0.0,0.0,0.0175,0.01925,0.0,0.0,0.07375,0.07,0.08825,0.0885,0.0,0.0,0.0,0.0,0.07975,0.07875,0.0,0.14625,0.0,0.0,0.0,0.0,0.14625,0.15375,0.0,0.0,0.0,0.0
33,0.01675,0.0,0.0,0.0,0.0,0.0,0.0,0.01825,0.0,0.016,0.07225,0.066,0.09275,0.09725,0.14325,0.0,0.0,0.0,0.0955,0.0905,0.14675,0.0,0.0,0.0,0.0,0.0,0.14475,0.0,0.0,0.0,0.0,0.0
