,none|none|right,none|none|wrong,none|some|right,none|some|wrong,none|most|right,none|most|wrong,none|all|right,none|all|wrong,some|none|right,some|none|wrong,some|some|right,some|some|wrong,some|most|right,some|most|wrong,some|all|right,some|all|wrong,most|none|right,most|none|wrong,most|some|right,most|some|wrong,most|most|right,most|most|wrong,most|all|right,most|all|wrong,all|none|right,all|none|wrong,all|some|right,all|some|wrong,all|most|right,all|most|wrong,all|all|right,all|all|wrong
0,0.0175,0.01325,0.0,0.0,0.0,0.0,0.01625,0.01375,0.0,0.0,0.058,0.061,0.0345,0.13375,0.0,0.0,0.0,0.0,0.0675,0.061,0.0,0.317,0.0,0.0,0.0,0.0,0.098,0.1085,0.0,0.0,0.0,0.0
1,0.00125,0.0,0.0,0.07975,0.0,0.005,0.0,0.00075,0.0,0.0015,0.0025,0.0,0.0045,0.0,0.01175,0.0,0.0,0.00725,0.0015,0.0,0.008,0.0,0.04675,0.0,0.0,0.0855,0.004,0.0,0.0415,0.0,0.6985,0.0
2,0.0,0.016,0.0,0.0,0.0,0.0,0.01525,0.0,0.007,0.0,0.061,0.0585,0.157,0.04575,0.0,0.04175,0.0,0.0,0.07025,0.08175,0.332,0.0,0.0,0.0,0.0,0.0,0.0,0.11375,0.0,0.0,0.0,0.0
3,0.0185,0.018,0.0,0.0,0.0,0.00875,0.0205,0.01725,0.0,0.0,0.08375,0.0905,0.048,0.0,0.0,0.0,0.0,0.0,0.1095,0.105,0.06425,0.0,0.0,0.0,0.0,0.0,0.15175,0.1745,0.08975,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155,0.00275,0.0205,0.019,0.01275,0.03675,0.012,0.12275,0.069,0.0,0.0,0.0245,0.0,0.081,0.0,0.5835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0455,0.04675,0.043,0.10925,0.03075,0.344,0.02625,0.0,0.0,0.0535,0.05075,0.24775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0055,0.0,0.0,0.0,0.0,0.063,0.0,0.005,0.0,0.01725,0.01975,0.02425,0.03875,0.0,0.135,0.0,0.0,0.0,0.0265,0.028,0.1035,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.496,0.0,0.0,0.0
7,0.018,0.02325,0.0,0.0,0.01025,0.0,0.0185,0.021,0.0,0.0,0.09375,0.09525,0.0,0.059,0.0,0.0,0.0,0.0,0.1035,0.093,0.0,0.0685,0.0,0.0,0.0,0.0,0.16725,0.14375,0.0,0.085,0.0,0.0
8,0.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.02225,0.0,0.00575,0.0965,0.0955,0.058,0.22325,0.0545,0.0,0.0,0.00825,0.10975,0.0,0.06,0.0,0.07025,0.0,0.0,0.0,0.1755,0.0,0.0,0.0,0.0,0.0
9,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.01025,0.0,0.04325,0.045,0.04375,0.103,0.02625,0.29825,0.0,0.0,0.0,0.05475,0.05725,0.2285,0.0,0.0,0.0,0.0,0.0,0.07875,0.0,0.0,0.0,0.0,0.0
