,none|none|right,none|none|wrong,none|some|right,none|some|wrong,none|most|right,none|most|wrong,none|all|right,none|all|wrong,some|none|right,some|none|wrong,some|some|right,some|some|wrong,some|most|right,some|most|wrong,some|all|right,some|all|wrong,most|none|right,most|none|wrong,most|some|right,most|some|wrong,most|most|right,most|most|wrong,most|all|right,most|all|wrong,all|none|right,all|none|wrong,all|some|right,all|some|wrong,all|most|right,all|most|wrong,all|all|right,all|all|wrong
0,0.003,0.03375,0.0,0.0,0.0,0.0,0.0355,0.00225,0.0,0.0,0.028,0.0445,0.0295,0.09725,0.0,0.0,0.0,0.0,0.02225,0.07825,0.0,0.349,0.0,0.0,0.0,0.0,0.02175,0.255,0.0,0.0,0.0,0.0
1,0.00225,0.0,0.0,0.08775,0.0,0.0095,0.0,0.0015,0.0,0.001,0.00125,0.0,0.0025,0.0,0.00575,0.0,0.0,0.00525,0.00225,0.0,0.008,0.0,0.033,0.0,0.0,0.09025,0.00575,0.0,0.0645,0.0,0.6795,0.0
2,0.0,0.00275,0.0,0.0,0.0,0.0,0.00375,0.0,0.00325,0.0,0.06625,0.0405,0.13225,0.033,0.0,0.0295,0.0,0.0,0.1155,0.033,0.5075,0.0,0.0,0.0,0.0,0.0,0.0,0.03275,0.0,0.0,0.0,0.0
3,0.003,0.0545,0.0,0.0,0.0,0.0035,0.06125,0.005,0.0,0.0,0.051,0.077,0.03525,0.0,0.0,0.0,0.0,0.0,0.038,0.13675,0.026,0.0,0.0,0.0,0.0,0.0,0.03525,0.4515,0.022,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0005,0.01,0.0145,0.0095,0.03,0.007,0.07975,0.08175,0.0,0.0,0.0215,0.0,0.10625,0.0,0.62825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0365,0.051,0.0315,0.1015,0.021,0.25825,0.02025,0.0,0.0,0.081,0.031,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.00825,0.0,0.0,0.0,0.0,0.09175,0.0,0.00775,0.0,0.007,0.0125,0.00575,0.0145,0.0,0.04975,0.0,0.0,0.0,0.0155,0.005,0.06225,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,0.6675,0.0,0.0,0.0
7,0.059,0.00425,0.0,0.0,0.003,0.0,0.00625,0.06225,0.0,0.0,0.07525,0.04825,0.0,0.037,0.0,0.0,0.0,0.0,0.13475,0.04275,0.0,0.028,0.0,0.0,0.0,0.0,0.44125,0.041,0.0,0.017,0.0,0.0
8,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0,0.00925,0.0965,0.15375,0.072,0.3305,0.06775,0.0,0.0,0.00925,0.0765,0.0,0.048,0.0,0.0635,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0
9,0.02725,0.0,0.0,0.0,0.0,0.0,0.0,0.02525,0.0,0.026,0.03875,0.02225,0.06975,0.0165,0.20625,0.0,0.0,0.0,0.05425,0.01875,0.2835,0.0,0.0,0.0,0.0,0.0,0.2115,0.0,0.0,0.0,0.0,0.0
10,0.00325,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.00475,0.0345,0.06225,0.031,0.12475,0.03075,0.0,0.0,0.0,0.0345,0.1095,0.0,0.5305,0.0,0.0,0.0,0.0,0.02875,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00375,0.0535,0.0745,0.04975,0.15375,0.0355,0.4065,0.03625,0.0,0.0,0.1185,0.041,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.006,0.0,0.0,0.054,0.0,0.0065,0.0,0.00375,0.0,0.00675,0.00875,0.0,0.01375,0.0,0.03675,0.033,0.0,0.0,0.00825,0.0,0.048,0.0,0.24825,0.0,0.0,0.0,0.03925,0.0,0.487,0.0,0.0
